State,Year,Organizations,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine
AK,2021,5,886,1620,85,37,133,2217,365,1,70,10,100,0,38,79,565,1130,0,75,144,763,948,0,3,6,7,0,80,82
AK,2022,5,1128,1878,51,42,146,2158,310,0,81,42,51,0,49,490,808,1325,7,109,189,1106,1006,0,1,3,4,1,112,216
AK,2023,5,911,1814,45,42,122,2148,223,0,36,8,57,1,45,345,672,1276,3,117,210,993,880,0,8,4,12,1,149,257
AL,2021,17,1548,3414,707,0,644,3816,78,218,655,90,221,7,6,1664,3566,8323,1435,27,1953,6577,2101,1,3592,90,180,7,7,2994
AL,2022,17,1419,3400,816,3,503,4307,65,92,479,30,164,13,0,1421,3289,9517,872,4,2277,6681,2012,0,3190,808,193,14,0,3262
AL,2023,17,1401,3313,694,0,360,3546,78,88,595,2,204,12,1,1466,4162,9881,778,0,1820,6398,1956,20,2826,1539,179,51,13,4274
AR,2021,19,975,2398,667,47,300,3254,79,135,439,198,127,9,3,239,1670,4320,516,15,409,3240,1482,4,1567,265,123,5,12,364
AR,2022,19,1034,2346,927,4,549,3600,63,156,609,13,105,9,3,180,1728,4665,536,14,478,3479,1601,8,1365,7,140,26,12,579
AR,2023,19,1231,2293,1439,0,365,4155,59,177,443,50,155,10,1,193,1621,4491,1117,10,281,3696,1565,0,1595,1,77,9,6,479
AZ,2021,40,10928,16545,2088,245,1699,19816,617,349,3216,3185,931,62,262,3700,12522,28818,6516,755,3476,32510,9444,9,6229,615,543,36,784,2613
AZ,2022,40,9879,16228,2106,178,1336,21238,518,342,2444,1693,732,34,146,3920,11732,30583,6314,522,3264,35201,8359,3,4917,282,476,40,497,3520
